item_id,pair_id,version,item_type,family_id,family_name,construct,q_vector,prime_text,target_text,target_lemma,critical_region,critical_region_word_pos,expected_response,name_in_prime,np_type,oddness_type,error_type,target_word_count,target_char_count,prime_word_count,lemma_letters,lemma_syllables,zipf_wordfreq,cefr_j_level,aoa_kuperman,concreteness,katakana_cognate,gairaigo_mismatch,dual_violation_flag,audio_duration_ms_est,prime_duration_ms_est,list_form,run_assignment_A,run_assignment_B,trial_index_A,trial_index_B,changed_from_v2
P001G,P001,G,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"In the home goods store, Maya wanted lighting.",Maya bought a lamp yesterday.,lamp,a lamp,3,yes,Maya,proper_name,,,5,29,8,4,1,4.05,B2,4.0,5.0,2,0,0,2051,3312,A,1.0,,22.0,,no
P001U,P001,U,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"In the home goods store, Maya wanted lighting.",Maya bought lamp yesterday.,lamp,lamp,3,no,Maya,proper_name,,,4,27,8,4,1,4.05,B2,4.0,5.0,2,0,0,1681,3312,B,,3.0,,18.0,no
P002G,P002,G,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"During the storm, Owen wanted fresh air inside.",Owen opened a window quickly.,window,a window,3,yes,Owen,proper_name,,,5,29,8,6,2,4.8,B1,3.5,5.0,0,0,0,2051,3312,A,2.0,,11.0,,no
P002U,P002,U,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"During the storm, Owen wanted fresh air inside.",Owen opened window quickly.,window,window,3,no,Owen,proper_name,,,4,27,8,6,2,4.8,B1,3.5,5.0,0,0,0,1681,3312,B,,1.0,,2.0,no
P003G,P003,G,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"Before the trip, Sara organized her travel items.",Sara packed a suitcase carefully.,suitcase,a suitcase,3,yes,Sara,proper_name,,,5,33,8,8,2,3.55,C1,5.0,5.0,2,0,0,2051,3312,A,2.0,,14.0,,no
P003U,P003,U,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"Before the trip, Sara organized her travel items.",Sara packed suitcase carefully.,suitcase,suitcase,3,no,Sara,proper_name,,,4,31,8,8,2,3.55,C1,5.0,5.0,2,0,0,1681,3312,B,,2.0,,31.0,no
P004G,P004,G,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"In art class, Noah practiced drawing shapes.",Noah drew a circle neatly.,circle,a circle,3,yes,Noah,proper_name,,,5,26,7,6,2,4.55,B1,4.5,4.0,1,1,0,2051,2942,A,3.0,,3.0,,prime: geometry→art
P004U,P004,U,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"In art class, Noah practiced drawing shapes.",Noah drew circle neatly.,circle,circle,3,no,Noah,proper_name,,,4,24,7,6,2,4.55,B1,4.5,4.0,1,1,0,1681,2942,B,,2.0,,7.0,prime: geometry→art
P005G,P005,G,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"Outside the cafe, Lena felt suddenly cold.",Lena wore a jacket today.,jacket,a jacket,3,yes,Lena,proper_name,,,5,25,7,6,2,4.32,B2,4.0,5.0,2,0,0,2051,2942,A,1.0,,32.0,,no
P005U,P005,U,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"Outside the cafe, Lena felt suddenly cold.",Lena wore jacket today.,jacket,jacket,3,no,Lena,proper_name,,,4,23,7,6,2,4.32,B2,4.0,5.0,2,0,0,1681,2942,B,,1.0,,13.0,no
P006G,P006,G,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"In her bedroom, Emma wanted to see herself.",Emma hung a mirror upstairs.,mirror,a mirror,3,yes,Emma,proper_name,,,5,28,8,6,2,4.47,B2,4.5,5.0,1,0,0,2051,3312,A,4.0,,8.0,,prime: reflective→see herself
P006U,P006,U,critical,F01,singular_count_missing_article,sg_count+article_omission,001000,"In her bedroom, Emma wanted to see herself.",Emma hung mirror upstairs.,mirror,mirror,3,no,Emma,proper_name,,,4,26,8,6,2,4.47,B2,4.5,5.0,1,0,0,1681,3312,B,,4.0,,18.0,prime: reflective→see herself
P007G,P007,G,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"After lunch, Sara chose one piece of fruit.",Sara ate an orange quickly.,orange,an orange,3,yes,Sara,proper_name,,,5,27,8,6,2,4.62,B1,3.5,5.0,2,0,0,2051,3312,A,2.0,,1.0,,no
P007U,P007,U,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"After lunch, Sara chose one piece of fruit.",Sara ate a orange quickly.,orange,a orange,3,no,Sara,proper_name,,,5,26,8,6,2,4.62,B1,3.5,5.0,2,0,0,2051,3312,B,,3.0,,22.0,no
P008G,P008,G,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"At night, Mira noticed one bird in flight.",Mira saw an owl clearly.,owl,an owl,3,yes,Mira,proper_name,,,5,24,8,3,1,3.87,C1,5.5,5.0,0,0,0,2051,3312,A,1.0,,18.0,,no
P008U,P008,U,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"At night, Mira noticed one bird in flight.",Mira saw a owl clearly.,owl,a owl,3,no,Mira,proper_name,,,5,23,8,3,1,3.87,C1,5.5,5.0,0,0,0,2051,3312,B,,2.0,,11.0,no
P009G,P009,G,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"In the bakery, Ren needed one kitchen tool.",Ren used an oven carefully.,oven,an oven,3,yes,Ren,proper_name,,,5,27,8,4,1,4.05,B2,5.0,5.0,2,0,0,2051,3312,A,3.0,,16.0,,prime: heating appliance→kitchen tool
P009U,P009,U,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"In the bakery, Ren needed one kitchen tool.",Ren used a oven carefully.,oven,a oven,3,no,Ren,proper_name,,,5,26,8,4,1,4.05,B2,5.0,5.0,2,0,0,2051,3312,B,,2.0,,23.0,prime: heating appliance→kitchen tool
P010G,P010,G,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"On the map, Tyler found one tropical land.",Tyler visited an island recently.,island,an island,3,yes,Tyler,proper_name,,,5,33,8,6,2,5.01,A2,5.5,5.0,0,0,0,2051,3312,A,4.0,,23.0,,no
P010U,P010,U,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"On the map, Tyler found one tropical land.",Tyler visited a island recently.,island,a island,3,no,Tyler,proper_name,,,5,32,8,6,2,5.01,A2,5.5,5.0,0,0,0,2051,3312,B,,3.0,,32.0,no
P011G,P011,G,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"For breakfast, Aya wanted one healthy snack.",Aya cooked an egg quickly.,egg,an egg,3,yes,Aya,proper_name,,,5,26,7,3,1,4.46,B2,3.5,5.0,0,0,0,2051,2942,A,2.0,,18.0,,prime: protein item→healthy snack
P011U,P011,U,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"For breakfast, Aya wanted one healthy snack.",Aya cooked a egg quickly.,egg,a egg,3,no,Aya,proper_name,,,5,25,7,3,1,4.46,B2,3.5,5.0,0,0,0,2051,2942,B,,4.0,,2.0,prime: protein item→healthy snack
P012G,P012,G,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"At the zoo, Kenji saw one large mammal.",Kenji photographed an elephant carefully.,elephant,an elephant,3,yes,Kenji,proper_name,,,5,41,8,8,2,4.08,B2,4.0,5.0,0,0,0,2051,3312,A,3.0,,14.0,,no
P012U,P012,U,critical,F02,indefinite_article_a_an,a/an_allomorph,001000,"At the zoo, Kenji saw one large mammal.",Kenji photographed a elephant carefully.,elephant,a elephant,3,no,Kenji,proper_name,,,5,40,8,8,2,4.08,B2,4.0,5.0,0,0,0,2051,3312,B,,1.0,,8.0,no
P013G,P013,G,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Mira visited the fruit farm for fresh fruit.,Mira picked five apples recently.,apple,five apples,3,yes,Mira,proper_name,,,5,33,8,5,2,4.76,B1,3.0,5.0,1,0,0,2051,3162,A,4.0,,2.0,,prime: orchard→fruit farm; adv: today→recently; name: Maya→Mira
P013U,P013,U,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Mira visited the fruit farm for fresh fruit.,Mira picked five apple recently.,apple,five apple,3,no,Mira,proper_name,,,5,32,8,5,2,4.76,B1,3.0,5.0,1,0,0,2051,3162,B,,4.0,,13.0,prime: orchard→fruit farm; adv: today→recently; name: Maya→Mira
P014G,P014,G,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Yuki walked the beach for small objects.,Yuki found four shells lately.,shell,four shells,3,yes,Yuki,proper_name,,,5,30,7,5,1,4.39,B2,5.0,5.0,1,0,0,2051,2792,A,2.0,,6.0,,adv: yesterday→lately; name: Sara→Yuki
P014U,P014,U,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Yuki walked the beach for small objects.,Yuki found four shell lately.,shell,four shell,3,no,Yuki,proper_name,,,5,29,7,5,1,4.39,B2,5.0,5.0,1,0,0,2051,2792,B,,3.0,,26.0,adv: yesterday→lately; name: Sara→Yuki
P015G,P015,G,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Owen prepared the garden for colorful plants.,Owen planted six flowers carefully.,flower,six flowers,3,yes,Owen,proper_name,,,5,35,7,6,2,4.42,B2,4.0,5.0,1,0,0,2051,2792,A,1.0,,15.0,,no
P015U,P015,U,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Owen prepared the garden for colorful plants.,Owen planted six flower carefully.,flower,six flower,3,no,Owen,proper_name,,,5,34,7,6,2,4.42,B2,4.0,5.0,1,0,0,2051,2792,B,,2.0,,20.0,no
